LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
765.0,5.182759802996947e-06,4.740072618948597e-08
766.0,5.128222079843297e-06,4.6880031351389143e-08
767.0,5.118182008908354e-06,4.6773724629259047e-08
768.0,5.140051664054496e-06,4.701353316127571e-08
769.0,5.14621917764921e-06,4.6992438487383634e-08
770.0,5.134100462941855e-06,4.6917584735524656e-08
771.0,5.123875626211503e-06,4.728357286435843e-08
772.0,5.1143139709117725e-06,4.66710603258033e-08
773.0,5.112215834950208e-06,4.669176343782759e-08
774.0,5.106771001700184e-06,4.6673428861048935e-08
775.0,5.1014181650315246e-06,4.673808502172571e-08
776.0,5.1037619966964855e-06,4.6509834888756835e-08
777.0,5.101069832504538e-06,4.674264131623371e-08
778.0,5.090093533681186e-06,4.663784414154284e-08
779.0,5.082425653992572e-06,4.647970089132626e-08
780.0,5.0799005788861045e-06,4.643321864266229e-08
781.0,5.0811508707580695e-06,4.6402798886417124e-08
782.0,5.0791396368436435e-06,4.6433096809376814e-08
783.0,5.066290782650916e-06,4.62728699306308e-08
784.0,5.0564450947116515e-06,4.628033487188723e-08
785.0,5.057575861811127e-06,4.656423354888836e-08
786.0,5.05911328116726e-06,4.646245499139788e-08
787.0,5.054684976056601e-06,4.632435163482988e-08
788.0,5.0471595575017225e-06,4.639788114148994e-08
789.0,5.039224229742138e-06,4.6524182589927086e-08
790.0,5.025433731595406e-06,4.711260987938225e-08
791.0,4.994417718194609e-06,4.6461325358715246e-08
792.0,4.950160606371965e-06,4.584471731931707e-08
793.0,4.904583669963669e-06,4.5392684704962043e-08
794.0,4.876118284587535e-06,4.475147850987764e-08
795.0,4.890262387177941e-06,4.5094860251865064e-08
796.0,4.926900930203068e-06,4.5659355691281643e-08
797.0,4.9493955542252745e-06,4.584587054750361e-08
798.0,4.947419516281127e-06,4.572856882921929e-08
799.0,4.9286538822042545e-06,4.555218315233966e-08
800.0,4.911034383942671e-06,4.54478403153471e-08
